EVENT_NUMBER,SEASON,START_DATE,END_DATE,ASSOCIATED_SIDS,ASSOCIATED_NAMES,CONSECUTIVE,NUM_CLAIMS
1,2000,2000-08-06 00:00:00+00:00,2000-08-13 00:00:00+00:00,2000222N28286,UNNAMED,0,33
2,2000,2000-09-14 00:00:00+00:00,2000-09-27 00:00:00+00:00,"2000259N20273,2000260N15308","GORDON,HELENE",1,788
3,2000,2000-10-01 00:00:00+00:00,2000-10-08 00:00:00+00:00,2000279N29279,LESLIE,0,12166
4,2001,2001-06-08 00:00:00+00:00,2001-06-20 00:00:00+00:00,2001157N28265,ALLISON,0,782
5,2001,2001-08-02 00:00:00+00:00,2001-08-10 00:00:00+00:00,2001215N26275,BARRY,0,344
6,2001,2001-09-11 00:00:00+00:00,2001-09-18 00:00:00+00:00,2001255N26276,GABRIELLE,0,3493
7,2002,2002-07-11 00:00:00+00:00,2002-07-18 00:00:00+00:00,2002196N34283,ARTHUR,0,67
8,2002,2002-08-01 00:00:00+00:00,2002-08-09 00:00:00+00:00,2002217N29272,BERTHA,0,31
9,2002,2002-08-29 00:00:00+00:00,2002-09-18 00:00:00+00:00,"2002245N29281,2002252N29289,2002255N26273","EDOUARD,GUSTAV,HANNA",1,225
10,2002,2002-09-23 00:00:00+00:00,2002-09-30 00:00:00+00:00,2002258N10300,ISIDORE,0,1986
11,2002,2002-10-01 00:00:00+00:00,2002-10-15 00:00:00+00:00,"2002264N28308,2002265N10315","KYLE,LILI",1,265
12,2003,2003-06-27 00:00:00+00:00,2003-07-05 00:00:00+00:00,2003179N20271,BILL,0,195
13,2003,2003-07-22 00:00:00+00:00,2003-07-29 00:00:00+00:00,2003207N29280,UNNAMED,0,76
14,2003,2003-08-11 00:00:00+00:00,2003-08-17 00:00:00+00:00,2003227N26277,ERIKA,0,116
15,2003,2003-09-02 00:00:00+00:00,2003-09-10 00:00:00+00:00,2003247N27272,HENRI,0,70
16,2003,2003-09-15 00:00:00+00:00,2003-09-22 00:00:00+00:00,2003249N14329,ISABEL,0,6537
17,2004,2004-07-29 00:00:00+00:00,2004-08-07 00:00:00+00:00,2004214N30282,ALEX,0,681
18,2004,2004-08-09 00:00:00+00:00,2004-08-18 00:00:00+00:00,"2004217N13306,2004223N11301","BONNIE,CHARLEY",1,6281
19,2004,2004-08-24 00:00:00+00:00,2004-09-12 00:00:00+00:00,"2004238N11325,2004241N32282","FRANCES,GASTON",1,9189
